190, War of the Worlds , 116, Color, English, English, PG-13, 132000000, 2005, 6.5, 1.85, http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1
281, The Island , 136, Color, English, English, PG-13, 126000000, 2005, 6.9, 2.35, http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1
488, The Brothers Grimm , 118, Color, English, English, PG-13, 88000000, 2005, 5.9, 1.85, http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1
116, Harry Potter and the Goblet of Fire , 157, Color, English, English, PG-13, 150000000, 2005, 7.6, 2.35, http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1
276, Kingdom of Heaven , 194, Color, English, English, R, 130000000, 2005, 7.2, 2.35, http://www.imdb.com/title/tt0320661/?ref_=fn_tt_tt_1
320, Son of the Mask , 94, Color, English, English, PG, 84000000, 2005, 2.2, 1.85, http://www.imdb.com/title/tt0362165/?ref_=fn_tt_tt_1
145, Flushed Away , 85, Color, English, English, PG, 149000000, 2006, 6.7, 1.85, http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1
12, Superman Returns , 169, Color, English, English, PG-13, 209000000, 2006, 6.1, 2.35, http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
14, Pirates of the Caribbean: Dead Man's Chest , 151, Color, English, English, PG-13, 225000000, 2006, 7.3, 2.35, http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
413, Open Season , 83, Color, English, English, PG, 85000000, 2006, 6.2, 1.85, http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1
142, Mission: Impossible III , 124, Color, English, English, PG-13, 150000000, 2006, 6.9, 2.35, http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1
398, Happy Feet , 108, Color, English, English, PG, 100000000, 2006, 6.5, 2.35, http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1
287, Casino Royale , 144,  Black and White, English, English, PG-13, 150000000, 2006, 8.0, 2.35, http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1
308, Blood Diamond , 143, Color, English, English, R, 100000000, 2006, 8.0, 2.35, http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1
106, Poseidon , 98, Color, English, English, PG-13, 160000000, 2006, 5.6, 2.35, http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1
419, The Fast and the Furious: Tokyo Drift , 104, Color, English, English, PG-13, 85000000, 2006, 6.0, 2.35, http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1
302, Eragon , 104,  Black and White, English, English, PG, 100000000, 2006, 5.1, 2.35, http://www.imdb.com/title/tt0449010/?ref_=fn_tt_tt_1
468, The Pink Panther , 93, Color, English, English, PG, 65000000, 2006, 5.6, 1.85, http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1
35, X-Men: The Last Stand , 104, Color, English, English, PG-13, 210000000, 2006, 6.8, 2.35, http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1
362, The Departed , 151, Color, English, English, R, 90000000, 2006, 8.5, 2.35, http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1
209, The Da Vinci Code , 174, Color, English, English, PG-13, 125000000, 2006, 6.6, 2.35, http://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1
430, Click , 107, Color, English, English, PG-13, 70000000, 2006, 6.4, 1.85, http://www.imdb.com/title/tt0389860/?ref_=fn_tt_tt_1
251, Night at the Museum , 108, Color, English, English, PG, 110000000, 2006, 6.4, 1.85, http://www.imdb.com/title/tt0477347/?ref_=fn_tt_tt_1
443, Over the Hedge , 83, Color, English, English, PG, 80000000, 2006, 6.8, 1.85, http://www.imdb.com/title/tt0327084/?ref_=fn_tt_tt_1
445, Charlotte's Web , 97, Color, English, English, G, 0, 2006, 6.4, 1.85, http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1
409, The Holiday , 138, Color, English, English, PG-13, 85000000, 2006, 6.9, 1.85, http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1
115, Harry Potter and the Order of the Phoenix , 138, Color, English, English, PG-13, 150000000, 2007, 7.5, 2.35, http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1
113, Transformers , 144, Color, English, English, PG-13, 150000000, 2007, 7.1, 2.35, http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1
118, I Am Legend , 104, Color, English, English, PG-13, 150000000, 2007, 7.2, 2.35, http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1
291, American Gangster , 176, Color, English, English, R, 100000000, 2007, 7.8, 1.85, http://www.imdb.com/title/tt0765429/?ref_=fn_tt_tt_1
60, Rush Hour 3 , 91, Color, English, English, PG-13, 140000000, 2007, 6.2, 2.35, http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1
120, Ratatouille , 111, Color, English, English, G, 150000000, 2007, 8.0, 2.35, http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1
108, Shrek the Third , 93, Color, English, English, PG, 160000000, 2007, 6.1, 1.85, http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1
25, The Golden Compass , 113, Color, English, English, PG-13, 180000000, 2007, 6.1, 2.35, http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
270, Live Free or Die Hard , 129, Color, English, English, PG-13, 110000000, 2007, 7.2, 2.35, http://www.imdb.com/title/tt0337978/?ref_=fn_tt_tt_1
154, Beowulf , 115, Color, English, English, PG-13, 150000000, 2007, 6.3, 2.35, http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1
329, Surf's Up , 85, Color, English, English, PG, 100000000, 2007, 6.8, 1.85, http://www.imdb.com/title/tt0423294/?ref_=fn_tt_tt_1
139, Bee Movie , 91, Color, English, English, PG, 150000000, 2007, 6.2, 1.85, http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1
404, Enchanted , 107, Color, English, English, PG, 85000000, 2007, 7.1, 2.35, http://www.imdb.com/title/tt0461770/?ref_=fn_tt_tt_1
75, Evan Almighty , 96, Color, English, English, PG, 175000000, 2007, 5.4, 2.35, http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1
412, Ocean's Thirteen , 122, Color, English, English, PG-13, 85000000, 2007, 6.9, 2.35, http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1
223, Fantastic 4: Rise of the Silver Surfer , 92, Color, English, English, PG, 130000000, 2007, 5.6, 2.35, http://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1
184, The Bourne Ultimatum , 115, Color, English, English, PG-13, 110000000, 2007, 8.1, 2.35, http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1
225, Ghost Rider , 123, Color, English, English, PG-13, 110000000, 2007, 5.2, 2.35, http://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1
7, Spider-Man 3 , 156, Color, English, English, PG-13, 258000000, 2007, 6.2, 2.35, http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
435, Zodiac , 162, Color, English, English, R, 65000000, 2007, 7.7, 2.35, http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1
2, Pirates of the Caribbean: At World's End , 169, Color, English, English, PG-13, 300000000, 2007, 7.1, 2.35, http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
59, WALL·E , 98, Color, English, English, G, 180000000, 2008, 8.4, 2.35, http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1
185, Kung Fu Panda , 92, Color, English, English, PG, 130000000, 2008, 7.6, 2.35, http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1
102, The Curious Case of Benjamin Button , 166, Color, English, English, PG-13, 150000000, 2008, 7.8, 2.35, http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1
347, The Spiderwick Chronicles , 107, Color, English, English, PG, 90000000, 2008, 6.6, 2.35, http://www.imdb.com/title/tt0416236/?ref_=fn_tt_tt_1
233, Speed Racer , 135, Color, English, English, PG, 120000000, 2008, 6.1, 2.35, http://www.imdb.com/title/tt0811080/?ref_=fn_tt_tt_1
454, Four Christmases , 88, Color, English, English, PG-13, 80000000, 2008, 5.6, 1.85, http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1
55, Indiana Jones and the Kingdom of the Crystal Skull , 122, Color, English, English, PG-13, 185000000, 2008, 6.2, 2.35, http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1
67, The Dark Knight , 152, Color, English, English, PG-13, 185000000, 2008, 9.0, 2.35, http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1
372, You Don't Mess with the Zohan , 113, Color, English, English, PG-13, 90000000, 2008, 5.5, 1.85, http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1
433, Jumper , 88, Color, English, English, PG-13, 85000000, 2008, 6.1, 2.35, http://www.imdb.com/title/tt0489099/?ref_=fn_tt_tt_1
371, Valkyrie , 121, Color, English, English, PG-13, 75000000, 2008, 7.1, 1.85, http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1
73, The Mummy: Tomb of the Dragon Emperor , 112, Color, English, English, PG-13, 145000000, 2008, 5.2, 2.35, http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1
434, Hellboy II: The Golden Army , 120, Color, English, English, PG-13, 85000000, 2008, 7.0, 1.85, http://www.imdb.com/title/tt0411477/?ref_=fn_tt_tt_1
457, Bedtime Stories , 99, Color, English, English, PG, 80000000, 2008, 6.1, 2.35, http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1
243, Asterix at the Olympic Games , 116, Color, French, French, No Content rating, 78000000, 2008, 5.1, 2.35, http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1
13, Quantum of Solace , 106, Color, English, English, PG-13, 200000000, 2008, 6.7, 2.35, http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
17, The Chronicles of Narnia: Prince Caspian , 150, Color, English, English, PG, 225000000, 2008, 6.6, 2.35, http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
197, Australia , 165, Color, English, English, PG-13, 130000000, 2008, 6.6, 2.35, http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1
122, Madagascar: Escape 2 Africa , 89, Color, English, English, PG, 150000000, 2008, 6.7, 1.85, http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1
177, The Incredible Hulk , 135, Color, English, English, PG-13, 150000000, 2008, 6.8, 2.35, http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1
364, Tropic Thunder , 121, Color, English, English, R, 92000000, 2008, 7.0, 2.35, http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1
462, Eagle Eye , 118, Color, English, English, PG-13, 80000000, 2008, 6.6, 2.35, http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1
70, Iron Man , 126, Color, English, English, PG-13, 140000000, 2008, 7.9, 2.35, http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1
117, Hancock , 102, Color, English, English, PG-13, 150000000, 2008, 6.4, 2.35, http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1
132, Bolt , 96, Color, English, English, PG, 150000000, 2008, 6.9, 1.85, http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1
469, The Day the Earth Stood Still , 104, Color, English, English, PG-13, 80000000, 2008, 5.5, 2.35, http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1
451, Get Smart , 110, Color, English, English, PG-13, 80000000, 2008, 6.5, 1.85, http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1
359, Ice Age: Dawn of the Dinosaurs , 94, Color, English, English, PG, 90000000, 2009, 7.0, 1.85, http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1
293, The Taking of Pelham 1 2 3 , 106, Color, English, English, R, 100000000, 2009, 6.4, 2.35, http://www.imdb.com/title/tt1111422/?ref_=fn_tt_tt_1
358, Cloudy with a Chance of Meatballs , 90, Color, English, English, PG, 100000000, 2009, 7.0, 2.35, http://www.imdb.com/title/tt0844471/?ref_=fn_tt_tt_1
133, G-Force , 88, Color, English, English, PG, 150000000, 2009, 5.1, 2.35, http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1
290, Public Enemies , 140, Color, English, English, R, 100000000, 2009, 7.0, 2.35, http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1
166, Watchmen , 215, Color, English, English, R, 130000000, 2009, 7.7, 2.35, http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1
37, Transformers: Revenge of the Fallen , 150, Color, English, English, PG-13, 200000000, 2009, 6.0, 2.35, http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1
78, G.I. Joe: The Rise of Cobra , 118, Color, English, English, PG-13, 175000000, 2009, 5.8, 2.35, http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1
69, Monsters vs. Aliens , 94, Color, English, English, PG, 175000000, 2009, 6.5, 2.35, http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1
68, Up , 96, Color, English, English, PG, 175000000, 2009, 8.3, 1.85, http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1
161, Star Trek , 127, Color, English, English, PG-13, 150000000, 2009, 8.0, 2.35, http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1
367, Sherlock Holmes , 128, Color, English, English, PG-13, 90000000, 2009, 7.6, 1.85, http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1
303, Where the Wild Things Are , 101, Color, English, English, PG, 100000000, 2009, 6.8, 2.35, http://www.imdb.com/title/tt0386117/?ref_=fn_tt_tt_1
492, Surrogates , 89, Color, English, English, PG-13, 80000000, 2009, 6.3, 2.35, http://www.imdb.com/title/tt0986263/?ref_=fn_tt_tt_1
123, Night at the Museum: Battle of the Smithsonian , 105, Color, English, English, PG, 150000000, 2009, 5.9, 2.35, http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1
178, Miami Vice             , 60, Color, English, English, TV-14, 1500000, 2009, 7.5, 1.33, http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1
45, Terminator Salvation , 118, Color, English, English, PG-13, 200000000, 2009, 6.6, 2.35, http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1
130, Angels & Demons , 146, Color, English, English, PG-13, 150000000, 2009, 6.7, 2.35, http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1
124, X-Men Origins: Wolverine , 119, Color, English, English, PG-13, 150000000, 2009, 6.7, 2.35, http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1
10, Harry Potter and the Half-Blood Prince , 153, Color, English, English, PG, 250000000, 2009, 7.5, 2.35, http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
62, A Christmas Carol , 96, Color, English, English, PG, 200000000, 2009, 6.8, 2.35, http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1
411, It's Complicated , 120, Color, English, English, R, 85000000, 2009, 6.6, 1.85, http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1
278, The Princess and the Frog , 97, Color, English, English, G, 105000000, 2009, 7.1, 1.85, http://www.imdb.com/title/tt0780521/?ref_=fn_tt_tt_1
61, 2012 , 158, Color, English, English, PG-13, 200000000, 2009, 5.8, 2.35, http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1
498, Nine , 118,  Black and White, English, English, PG-13, 80000000, 2009, 5.8, 2.35, http://www.imdb.com/title/tt0875034/?ref_=fn_tt_tt_1
338, The Lovely Bones , 135, Color, English, English, PG-13, 65000000, 2009, 6.7, 2.35, http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1
317, Land of the Lost , 102, Color, English, English, PG-13, 100000000, 2009, 5.4, 1.85, http://www.imdb.com/title/tt0457400/?ref_=fn_tt_tt_1
352, Percy Jackson & the Olympians: The Lightning Thief , 118, Color, English, English, PG, 95000000, 2010, 5.9, 2.35, http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1
44, Toy Story 3 , 103, Color, English, English, G, 200000000, 2010, 8.3, 1.85, http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1
193, Salt , 101, Color, English, English, PG-13, 110000000, 2010, 6.4, 2.35, http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1
41, TRON: Legacy , 125, Color, English, English, PG, 170000000, 2010, 6.8, 2.35, http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
355, Unstoppable , 98, Color, English, English, PG-13, 100000000, 2010, 6.8, 2.35, http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1
464, The Book of Eli , 118, Color, English, English, R, 80000000, 2010, 6.9, 2.35, http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1
34, Alice in Wonderland , 108, Color, English, English, PG, 200000000, 2010, 6.5, 1.85, http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1
111, The Chronicles of Narnia: The Voyage of the Dawn Treader , 113, Color, English, English, PG, 155000000, 2010, 6.3, 1.78, http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1
259, Gulliver's Travels , 85, Color, English, English, PG, 112000000, 2010, 4.9, 2.35, http://www.imdb.com/title/tt1320261/?ref_=fn_tt_tt_1
202, Megamind , 95, Color, English, English, PG, 130000000, 2010, 7.3, 2.35, http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1
473, Yogi Bear , 80, Color, English, English, PG, 80000000, 2010, 4.6, 1.85, http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1
294, Little Fockers , 98, Color, English, English, PG-13, 100000000, 2010, 5.5, 1.85, http://www.imdb.com/title/tt0970866/?ref_=fn_tt_tt_1
295, The Other Guys , 116, Color, English, English, PG-13, 100000000, 2010, 6.7, 2.35, http://www.imdb.com/title/tt1386588/?ref_=fn_tt_tt_1
405, Hannibal             , 44, Color, English, English, TV-14, 0, 2010, 8.6, 1.78, http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1
207, Harry Potter and the Deathly Hallows: Part I , 0, Color, English, English, No Content rating, 0, 2010, 6.4, 0.0, http://www.imdb.com/title/tt1571403/?ref_=fn_tt_tt_1
334, Sex and the City 2 , 146, Color, English, English, R, 100000000, 2010, 4.3, 1.85, http://www.imdb.com/title/tt1261945/?ref_=fn_tt_tt_1
438, The Expendables , 113, Color, English, English, R, 80000000, 2010, 6.5, 2.35, http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1
23, Robin Hood , 156, Color, English, English, PG-13, 200000000, 2010, 6.7, 2.35, http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
105, The Sorcerer's Apprentice , 109, Color, English, English, PG, 150000000, 2010, 6.1, 2.35, http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1
52, Prince of Persia: The Sands of Time , 116, Color, English, English, PG-13, 200000000, 2010, 6.6, 2.35, http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1
81, Iron Man 2 , 124, Color, English, English, PG-13, 200000000, 2010, 7.0, 2.35, http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1
393, The Nutcracker in 3D , 110, Color, English, English, PG, 90000000, 2010, 4.4, 2.35, http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1
214, Clash of the Titans , 106, Color, English, English, PG-13, 125000000, 2010, 5.8, 2.35, http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1
306, The Tourist , 103, Color, English, English, PG-13, 100000000, 2010, 6.0, 2.35, http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1
137, The Wolfman , 119, Color, English, English, R, 150000000, 2010, 5.8, 1.85, http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1
8, Tangled , 100, Color, English, English, PG, 260000000, 2010, 7.8, 1.85, http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
432, Cats & Dogs: The Revenge of Kitty Galore , 82, Color, English, English, PG, 85000000, 2010, 4.3, 1.85, http://www.imdb.com/title/tt1287468/?ref_=fn_tt_tt_1
141, The Last Airbender , 103, Color, English, English, PG, 150000000, 2010, 4.2, 2.35, http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1
235, Knight and Day , 117, Color, English, English, PG-13, 117000000, 2010, 6.3, 2.35, http://www.imdb.com/title/tt1013743/?ref_=fn_tt_tt_1
234, How Do You Know , 121, Color, English, English, PG-13, 120000000, 2010, 5.3, 1.85, http://www.imdb.com/title/tt1341188/?ref_=fn_tt_tt_1
313, Legend of the Guardians: The Owls of Ga'Hoole , 101, Color, English, English, PG, 80000000, 2010, 7.0, 2.35, http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1
323, Green Zone , 115, Color, English, English, R, 100000000, 2010, 6.9, 2.35, http://www.imdb.com/title/tt0947810/?ref_=fn_tt_tt_1
88, Shrek Forever After , 93, Color, English, English, PG, 165000000, 2010, 6.4, 2.35, http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1
98, Inception , 148, Color, English, English, PG-13, 160000000, 2010, 8.8, 2.35, http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1
453, Shutter Island , 138, Color, English, English, R, 80000000, 2010, 8.1, 2.35, http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1
425, Scott Pilgrim vs. the World , 112, Color, English, English, PG-13, 60000000, 2010, 7.5, 1.85, http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1
94, How to Train Your Dragon , 98, Color, English, English, PG, 165000000, 2010, 8.2, 2.35, http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1
103, X-Men: First Class , 132, Color, English, English, PG-13, 160000000, 2011, 7.8, 2.35, http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1
213, Sherlock Holmes: A Game of Shadows , 129, Color, English, English, PG-13, 125000000, 2011, 7.5, 2.35, http://www.imdb.com/title/tt1515091/?ref_=fn_tt_tt_1
144, Mars Needs Moms , 88, Color, English, English, PG, 150000000, 2011, 5.4, 2.35, http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1
212, Fast Five , 132, Color, English, English, PG-13, 125000000, 2011, 7.3, 2.35, http://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1
19, Pirates of the Caribbean: On Stranger Tides , 136, Color, English, English, PG-13, 250000000, 2011, 6.7, 2.35, http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
420, Arthur Christmas , 97, Color, English, English, PG, 100000000, 2011, 7.1, 1.85, http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1
54, Transformers: Dark of the Moon , 154, Color, English, English, PG-13, 195000000, 2011, 6.3, 2.35, http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1
140, Kung Fu Panda 2 , 90, Color, English, English, PG, 150000000, 2011, 7.3, 2.35, http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1
328, The Flowers of War , 146, Color, Mandarin, Mandarin, R, 94000000, 2011, 7.6, 2.35, http://www.imdb.com/title/tt1410063/?ref_=fn_tt_tt_1
156, Mission: Impossible - Ghost Protocol , 133, Color, English, English, PG-13, 145000000, 2011, 7.4, 2.35, http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1
365, The Girl with the Dragon Tattoo , 158, Color, English, English, R, 90000000, 2011, 7.8, 2.35, http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1
475, Zookeeper , 102, Color, English, English, PG, 80000000, 2011, 5.2, 2.35, http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1
402, The Three Musketeers , 110, Color, English, English, PG-13, 75000000, 2011, 5.8, 2.35, http://www.imdb.com/title/tt1509767/?ref_=fn_tt_tt_1
200, Harry Potter and the Deathly Hallows: Part II , 0, Color, English, English, No Content rating, 0, 2011, 7.5, 0.0, http://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1
260, The Green Hornet , 119, Color, English, English, PG-13, 120000000, 2011, 5.8, 2.35, http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1
263, The Smurfs , 103, Color, English, English, PG, 110000000, 2011, 5.5, 1.78, http://www.imdb.com/title/tt0472181/?ref_=fn_tt_tt_1
266, Real Steel , 127, Color, English, English, PG-13, 110000000, 2011, 7.1, 2.35, http://www.imdb.com/title/tt0433035/?ref_=fn_tt_tt_1
459, Just Go with It , 117, Color, English, English, PG-13, 80000000, 2011, 6.4, 1.85, http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1
441, The Hangover Part II , 102, Color, English, English, R, 80000000, 2011, 6.5, 2.35, http://www.imdb.com/title/tt1411697/?ref_=fn_tt_tt_1
172, Captain America: The First Avenger , 124, Color, English, English, PG-13, 140000000, 2011, 6.9, 2.35, http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1
195, The Adventures of Tintin , 107, Color, English, English, PG, 135000000, 2011, 7.4, 2.35, http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1
131, Thor , 115, Color, English, English, PG-13, 150000000, 2011, 7.0, 2.35, http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1
176, Happy Feet 2 , 100, Color, English, English, PG, 135000000, 2011, 5.9, 2.35, http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1
449, Alvin and the Chipmunks: Chipwrecked , 87, Color, English, English, G, 75000000, 2011, 4.4, 1.85, http://www.imdb.com/title/tt1615918/?ref_=fn_tt_tt_1
182, Rango , 107, Color, English, English, PG, 135000000, 2011, 7.2, 2.35, http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1
71, Hugo , 126, Color, English, English, PG, 170000000, 2011, 7.5, 1.85, http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1
346, Rise of the Planet of the Apes , 105, Color, English, English, PG-13, 93000000, 2011, 7.6, 2.35, http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1
43, Green Lantern , 123, Color, English, English, PG-13, 200000000, 2011, 5.6, 2.35, http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1
192, Puss in Boots , 90, Color, English, English, PG, 130000000, 2011, 6.7, 2.35, http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1
408, Tower Heist , 104, Color, English, English, PG-13, 75000000, 2011, 6.2, 2.35, http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1
42, Cars 2 , 106, Color, English, English, G, 200000000, 2011, 6.3, 2.35, http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1
385, Rio , 96, Color, English, English, G, 90000000, 2011, 7.0, 2.35, http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1
188, The Twilight Saga: Breaking Dawn - Part 2 , 115, Color, English, English, PG-13, 120000000, 2012, 5.5, 2.35, http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1
175, The Twilight Saga: Breaking Dawn - Part 2 , 115, Color, English, English, PG-13, 120000000, 2012, 5.5, 2.35, http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1
297, Django Unchained , 165, Color, English, English, R, 100000000, 2012, 8.5, 2.35, http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1
336, Ice Age: Continental Drift , 88, Color, English, English, PG, 95000000, 2012, 6.6, 2.35, http://www.imdb.com/title/tt1667889/?ref_=fn_tt_tt_1
134, Wrath of the Titans , 99, Color, English, English, PG-13, 150000000, 2012, 5.8, 1.85, http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1
440, The Hunger Games , 142, Color, English, English, PG-13, 78000000, 2012, 7.3, 2.35, http://www.imdb.com/title/tt1392170/?ref_=fn_tt_tt_1
